""	"HCC3_BaP_C0_093_S93"	"HCC3_BaP_C0_094_S94"	"HCC3_BaP_C5_053_S53"	"HCC3_BaP_C5_054_S54"	"HCC3_CISP_C0_281_S281"	"HCC3_CISP_C0_282_S282"	"HCC3_CISP_C5_241_S241"	"HCC3_CISP_C5_242_S242"
"GNPDA1_2723"	0	1	1	0	1	2	0	4
"GNS_2725"	676	584	520	421	759	665	741	399
"GOLT1B_2734"	13	12	12	12	24	23	24	5
"GOT1_2737"	566	608	351	199	1002	831	618	486
"GPATCH8_2740"	44	36	55	28	58	82	88	48
"GPC1_2744"	935	805	381	267	4158	3816	726	436
"GPER1_2750"	3	1	9	12	9	16	17	5
"GPI_2753"	1019	891	529	410	2099	1555	1357	823
"ADGRG1_2761"	2	1	10	4	17	5	31	9
"GRB10_2771"	323	286	249	183	361	287	303	178
"GRIN1_2787"	0	0	1	0	0	0	0	0
"GRK1_2794"	0	0	0	0	0	4	2	2
"GRM4_2797"	0	0	0	0	4	0	0	0
"GRN_2799"	40	48	101	52	113	86	147	103
"GRWD1_2804"	3	3	13	2	8	6	8	1
"GSK3B_2810"	200	205	212	124	314	191	183	151
"GSTA2_2817"	1532	1624	75	42	550	505	141	133
"GSTM2_2823"	239	235	52	48	623	339	35	22
"GSTZ1_2830"	22	19	5	5	29	17	25	13
"GTF2A2_2833"	9	32	22	21	28	27	72	56
"GTF2E2_2835"	202	193	248	133	279	188	239	129
"GTF2H2C_2837"	1250	996	969	536	1504	1241	1332	874
"GTPBP8_2849"	76	68	106	51	122	41	222	191
"GZMA_2853"	0	0	0	0	9	1	0	0
"GZMB_2856"	0	1	2	7	1	2	10	2
"H2AFZ_2864"	8782	7752	18686	14646	21480	22108	36324	24392
"HADH_2872"	18	29	14	9	16	12	29	15
"HADHA_2875"	228	214	129	68	349	202	344	174
"HAT1_2880"	311	334	416	398	446	390	982	777
"HAVCR1_2885"	49	55	49	29	155	89	113	91
"HBA1_2887"	0	0	0	0	1	0	0	0
"HBB_2888"	0	1	0	0	1	0	0	1
"HBD_2891"	0	0	0	0	1	0	0	0
"HDAC2_2900"	6187	5586	4820	2741	12230	9821	6557	5336
"HDAC6_2901"	180	167	79	36	383	270	201	130
"HDGFRP3_2909"	2	4	10	0	27	18	19	18
"HEATR1_2915"	2	1	2	2	18	3	17	5
"HEBP1_2919"	99	96	56	60	127	96	141	71
"HERC6_2923"	72	61	49	29	110	83	40	70
"HERPUD1_2924"	620	505	373	226	577	453	397	249
"HES1_2925"	106	107	193	179	127	65	434	280
"HEXA_2929"	1302	1379	781	566	3076	2618	1771	1085
"HEXB_2932"	1372	1350	1549	1089	1705	1354	3134	1933
"MFSD14A_2943"	367	333	202	150	580	410	526	402
"HIF1A_2945"	2013	1803	1150	639	3560	2989	1859	1094
"HIST1H1C_2950"	2408	2298	2679	2317	5248	5525	4296	3288
"HIST1H2AE_2951"	27	19	33	27	93	66	69	71
"HIST1H2BC_2952"	1343	1257	1268	1252	3963	3949	1569	1621
"HIST1H2BG_2953"	20	13	18	38	50	72	52	44
"HIST1H2BH_2954"	0	0	4	2	4	4	0	0
"HIST1H2BK_2955"	1657	1356	1843	1288	2150	2160	2930	2047
"HIST1H2BM_2956"	2	0	0	0	0	1	0	0
"HIST1H3H_2957"	865	733	1624	1246	2750	3426	1125	1220
"HIST2H2AA4_2963"	687	644	1069	811	2144	1916	1891	1653
"HIST2H2AA4_2964"	2320	2093	3003	2520	5223	5016	3557	2486
"HIST2H2BE_2966"	13	10	17	12	36	26	14	10
"HJURP_2968"	4	4	18	0	12	24	24	24
"HK1_2971"	7	4	3	2	27	4	27	27
"HLA-A_2975"	1351	1234	1132	841	2115	1590	1929	865
"HLA-B_2976"	345	378	511	426	1208	891	2089	1249
"HLA-C_2979"	224	227	257	190	426	305	551	367
"HLA-DPA1_2983"	0	0	0	2	0	0	0	0
"HLA-DQA1_2987"	0	0	1	4	9	0	2	3
"HLA-DQB1_2990"	0	2	11	12	18	18	479	246
"HLA-DRA_2993"	124	119	65	76	136	125	216	187
"HLA-DRB1_2994"	0	0	0	0	0	0	1	0
"HLA-DRB3_2995"	0	0	0	0	0	0	2	0
"HLA-DRB5_2997"	0	0	0	0	0	0	0	0
"HLA-E_3000"	1320	1217	1691	1314	2237	1922	2158	1146
"HLA-F_3003"	28	15	19	1	14	21	30	10
"HMG20B_3013"	13	4	9	5	12	19	14	12
"HMGA2_3022"	300	264	828	785	511	581	723	455
"HMGCR_3029"	410	361	166	143	653	378	333	196
"HMGCS1_3030"	14	8	23	20	30	43	15	19
"HMMR_3040"	746	560	717	467	2091	2118	3874	2522
"HMOX1_3041"	343	294	283	179	507	536	787	401
"HN1L_3042"	159	134	126	86	498	392	280	143
"HOMER2_3072"	49	26	24	10	58	43	35	38
"HOOK2_3074"	0	0	0	0	4	2	0	0
"HOXA10_3077"	0	1	0	0	8	0	0	6
"HOXA5_3080"	0	0	1	0	1	1	0	0
"HP_3085"	2717	2995	829	252	3719	2489	651	606
"HPN_3091"	31	11	0	1	84	56	21	15
"HPR_3094"	343	451	34	17	339	236	18	19
"HPRT1_3097"	300	297	368	281	575	550	653	532
"HS2ST1_3103"	728	660	434	251	729	572	522	327
"HS2ST1_3104"	15	20	6	4	35	42	5	9
"HSD17B10_3112"	33	35	27	24	121	88	114	50
"HSD17B11_3115"	729	700	361	193	687	455	508	278
"HSP90AA1_3127"	2295	2142	4715	2689	3004	2316	6679	4012
"HSP90AB1_3128"	4341	4019	5261	2636	6529	4995	6377	3395
"HSP90B1_3131"	1249	1172	1100	911	1181	848	1389	804
"HSPA13_3134"	23	24	45	33	15	21	89	61
"HSPA1A_3135"	410	381	292	189	361	386	123	94
"HSPA1B_3136"	371	341	405	253	276	211	740	288
"HSPA4_3139"	1351	1277	1361	630	1533	1105	2113	1307
"HSPA8_3142"	9651	8610	4589	2598	16410	12457	11483	7385
"HSPB1_3144"	3462	3402	1760	1253	6609	5988	4018	2513
"HSPD1_3152"	682	666	705	491	715	562	1128	744
"HSPG2_3153"	50	33	46	23	153	108	88	45
"HTATSF1_3159"	2554	2271	2285	1215	4441	2981	2182	1518
"HTRA1_3172"	1201	1009	634	450	1598	1522	288	239
"HYOU1_3177"	263	209	242	152	444	379	295	112
"IARS2_3181"	125	112	166	87	206	122	288	119
"ICAM1_3187"	18	13	41	29	25	17	141	56
"ICMT_3191"	5	4	3	13	17	10	32	10
"MRPL58_3192"	661	608	481	313	1421	1174	997	805
"ID2_3198"	254	218	110	97	203	187	115	79
"IDE_3201"	745	612	487	383	779	560	719	394
"IDO1_3210"	0	0	2	0	2	0	0	0
"IER2_3213"	974	981	3542	2157	2745	2202	2714	1390
"IER3_3214"	145	111	805	599	429	562	1335	688
"IFIT1_3219"	208	243	57	55	353	252	305	235
"IFIT2_3222"	1	2	9	2	7	2	13	3
"IFIT3_3225"	14	33	24	22	49	28	214	132
"IFITM1_3226"	0	5	2	1	0	0	7	0
"IFNAR1_3235"	86	72	90	67	172	96	254	166
"IFNG_3239"	0	0	0	0	4	0	0	0
"IFRD2_3246"	123	96	118	114	284	237	297	208
"IGF1R_3254"	305	248	271	152	559	477	410	254
"IGF2BP2_3259"	44	25	31	11	52	37	40	36
"IGF2R_3263"	3969	3838	1680	837	6988	5177	2980	1652
"IGFBP1_3266"	18	17	144	128	76	135	218	423
"IGFBP3_3270"	231	219	231	155	1264	1454	386	350
"IGFBP4_3271"	782	596	556	439	2302	2226	1453	927
"IGHMBP2_3275"	43	23	26	19	101	58	65	57
"IGHV3_3276"	0	0	0	0	8	8	0	0
"IGKC_3281"	1	1	1	0	19	4	0	0
"IGKV1_3282"	0	0	0	0	1	0	0	0
"IKBKAP_3288"	730	697	760	402	1304	912	707	452
"IKBKB_3289"	41	23	38	14	35	34	42	40
"IKBKE_3290"	4	3	3	0	17	4	5	16
"IKBKG_3291"	321	246	272	214	689	580	660	363
"IKZF1_3292"	0	0	0	0	1	0	0	0
"IKZF1_3293"	0	1	0	0	6	4	2	2
"IKZF1_3294"	0	0	0	1	1	0	0	0
"IL13RA1_3309"	95	127	89	65	128	95	211	121
"IL1B_3325"	8	7	154	112	44	9	333	219
"IL36G_3337"	0	0	2	0	0	0	0	0
"IL4R_3339"	19	11	36	41	17	18	43	37
"IL6_3341"	3	0	1	0	3	4	9	3
"IL7R_3347"	7	10	3	1	54	38	21	32
"ILF2_3354"	979	868	1447	1131	1449	1298	2058	1419
"ILK_3355"	969	953	735	532	4613	3607	2217	1608
"INPP1_3376"	5	2	13	17	18	14	65	44
"INPP4B_3379"	94	102	36	24	159	155	22	21
"INS_3382"	3	0	4	0	3	0	0	0
"INSIG1_3385"	1060	1070	187	86	3245	2303	553	494
"INTS3_3388"	12	11	15	5	21	10	42	33
"IPO13_3398"	18	3	27	5	17	13	26	4
"IPO5_3401"	186	132	280	183	150	136	287	264
"IQGAP1_3404"	2084	1813	1740	1359	2512	1881	3262	2011
"IRF7_3410"	18	14	39	21	25	15	74	29
"ISG15_3415"	30	42	112	64	117	92	558	256
"ISOC1_3421"	132	96	81	68	151	96	122	98
"ITFG1_3424"	137	79	52	54	111	102	115	65
"ITGAE_3432"	191	138	96	72	235	195	170	108
"ITGB1BP1_3441"	17	21	20	14	39	43	63	55
"ITGB5_3450"	72	42	22	34	79	102	69	40
"ITPR2_3454"	60	97	3	10	152	106	4	10
"JAK1_3463"	768	699	308	189	681	574	746	406
"JAK2_3466"	30	13	7	5	42	32	10	16
"JMJD6_3471"	670	583	997	555	867	846	891	459
"JUN_3475"	3	0	6	3	11	3	23	15
"KAT6A_3486"	155	149	198	128	152	128	292	107
"KAT6B_3489"	195	181	61	33	418	334	90	52
"KCNF1_3502"	0	0	0	0	2	0	0	0
"KCNJ18_3509"	0	0	0	0	9	4	0	1
"KCNK1_3516"	11	2	3	0	15	12	17	7
"KCNK4_3519"	0	2	0	0	1	0	0	0
"KCNQ2_3525"	0	0	0	0	0	2	0	0
"KCNQ3_3528"	62	84	47	36	393	343	212	168
"KCTD5_3534"	10	13	25	10	32	11	37	30
"KDELR2_3540"	2917	2700	2231	1578	4550	3665	2228	1494
"KDM3A_3541"	440	431	188	80	1552	1252	340	337
"KDM5A_3544"	204	225	156	54	458	355	257	125
"KDM5B_3545"	11	22	1	4	67	24	6	6
"KDR_3546"	5	0	0	0	8	10	2	2
"KEAP1_3547"	252	218	280	164	427	250	598	306
"KIAA0100_3554"	213	222	219	153	320	190	396	262
"KIAA0101_3555"	6	0	2	4	2	1	5	11
"KIAA0196_3558"	965	933	511	312	1133	821	1169	579
"KIAA0355_3561"	66	74	92	23	117	100	58	15
"KIAA0753_3564"	302	253	307	131	755	497	444	266
"KIAA0907_3570"	484	458	662	368	893	694	856	559
"KIAA1033_3574"	236	255	282	146	326	231	336	208
"KIF1BP_3583"	134	137	179	131	139	98	353	179
"KIF11_3588"	524	317	958	626	1169	1124	1543	1276
"KIF14_3592"	219	159	351	254	609	580	1046	660
"KIF15_3595"	37	28	70	64	61	48	168	110
"KIF18B_3598"	3	1	4	1	7	1	14	13
"KIF20A_3601"	281	163	362	316	452	527	1818	1105
"KIF2C_3603"	411	298	930	718	1229	1232	2661	1892
"KIF5C_3612"	0	0	0	2	2	0	0	0
"KIT_3617"	2	0	0	0	3	5	0	2
"KLF6_3626"	187	165	203	169	369	356	607	375
"KLHDC2_3630"	1329	1186	445	352	2111	1547	1024	699
"KLHL21_3635"	40	46	67	22	61	52	92	26
"KLHL9_3643"	339	301	217	139	607	604	372	178
"KLK2_3651"	0	0	0	2	7	0	2	0
"KNSTRN_3668"	208	169	286	210	278	309	853	402
"KRT17_3687"	57	43	525	401	210	191	1234	1010
"KRT19_3690"	48	35	12	8	190	175	142	80
"KRT4_3695"	29	43	1	0	131	107	17	14
"KRT5_3696"	1	6	0	0	10	0	2	2
"KRT6C_3700"	1	2	1	4	12	8	1	0
"KRT7_3703"	0	3	0	0	3	9	7	9
"KTN1_3708"	507	385	285	251	631	485	974	514
"L1CAM_3714"	1	0	0	0	4	0	0	0
"LAGE3_3716"	223	212	345	197	675	533	686	586
"LAMA3_3717"	195	168	82	37	232	130	176	56
"LAMB3_3722"	2	0	6	8	12	3	51	13
"LAMC2_3727"	0	0	21	9	9	5	38	30
"LAMP1_3730"	8283	8072	6044	4121	16652	13236	10302	6036
"LAP3_3740"	2512	2308	2098	1225	5249	3930	2346	1706
"LBR_3754"	46	55	41	25	56	63	74	26
"LCP1_3761"	98	112	48	32	157	155	189	133
"LDHA_3766"	6045	5394	2057	1641	11511	9316	6333	5299
"LGALS8_3781"	28	29	11	9	37	28	62	20
"LGMN_3782"	448	402	543	459	909	656	804	446
"LIG1_3795"	21	14	63	42	129	97	260	146
"LINC00621_3801"	0	1	0	0	6	0	1	0
"LIPA_3812"	2006	1689	1615	1207	6101	4273	2509	2018
"LOC100506029_3829"	333	257	136	134	392	352	213	140
"LOC652493_3838"	1	0	0	0	18	1	0	0
"LOXL1_3850"	0	0	27	4	30	14	7	3
"LPAR2_3854"	7	4	25	0	18	6	16	11
"LPGAT1_3859"	21	23	17	9	19	14	24	4
"LPIN3_3865"	25	11	18	10	76	60	54	24
"LRP10_3874"	1622	1567	2010	1400	2686	2274	3979	2152
"LRPAP1_3876"	5	0	24	9	19	1	14	15
"CARMIL1_3881"	119	99	55	27	341	337	178	148
"LRRC41_3882"	1451	1287	800	438	3368	2995	687	352
"LSM1_3888"	251	285	140	124	427	302	385	405
"LSM2_3891"	418	375	568	365	1446	1147	1303	1223
"LSM5_3894"	829	684	783	704	1799	1589	1013	764
"LSM6_3897"	1386	1361	1017	774	1597	1203	1338	902
"LYN_3912"	0	0	0	2	7	1	1	1
"LYPLA1_3915"	1907	1812	1486	957	2883	2140	2460	1545
"LYRM1_3916"	536	531	157	119	1013	735	514	314
"LYSMD3_3919"	0	1	0	0	2	2	8	3
"MACF1_3927"	47	55	75	30	101	83	152	92
"MAD2L1_3930"	17	8	64	68	57	62	295	185
"MALT1_3941"	362	294	393	281	485	469	367	244
"MAMLD1_3945"	0	0	0	0	7	1	5	0
"MAN2B1_3947"	199	148	89	88	259	202	301	190
"MAP2K4_3974"	1642	1447	1166	641	1955	1583	1514	1084
"MAP2K5_3975"	32	29	4	3	55	36	2	11
"MAP3K4_3982"	49	32	21	16	54	37	29	25
"MAP4K4_3985"	320	275	378	216	435	369	721	527
"MAP7_3988"	361	328	93	30	457	289	204	70
"MAPK1_3989"	20	25	25	19	53	22	76	16
"MAPK1_3990"	30	27	11	11	50	25	58	44
"MAPK13_3996"	1	7	62	39	23	10	128	70
"MAPK14_4000"	299	264	235	165	723	625	464	339
"MAPK1IP1L_4001"	7	5	7	10	4	16	33	13
"MAPK3_4002"	22	18	17	3	49	74	73	37
"MAPK9_4009"	671	610	611	378	1052	761	652	463
"MAPKAPK2_4012"	4813	4700	2908	1844	10142	7967	3993	2631
"MAPKAPK3_4013"	31	41	73	50	89	83	141	109
"MAPKAPK5_4016"	39	29	15	19	54	21	93	33
"MARCKS_4021"	217	187	172	112	372	442	131	70
"MAST2_4033"	25	20	10	11	37	13	44	22
"MAT2A_4039"	15931	13915	8495	5157	21788	16842	9855	6716
"MBD4_4052"	347	304	405	295	345	257	512	268
"MBNL1_4056"	3369	3311	1841	1249	5286	3992	2437	1635
"MBNL2_4059"	1202	1186	377	175	1581	1149	553	408
"MBOAT7_4061"	2	0	14	11	19	5	22	14
"MBTPS1_4066"	127	99	62	40	188	165	109	56
"MCM10_4071"	36	33	308	194	114	107	361	278
"MCM3_4072"	1219	1112	2300	1451	3407	2752	2447	1782
"MCM4_4075"	41	39	226	145	116	69	420	223
"MCM7_4079"	290	265	846	569	617	527	1167	632
"MCOLN1_4080"	50	44	92	67	184	176	208	90
"MCUR1_4086"	414	351	334	218	466	361	536	405
"MDH1_4087"	738	779	372	206	2449	2092	717	419
"ME2_4100"	79	73	68	55	128	49	140	79
"MED1_4106"	1670	1634	1360	734	2781	2196	1859	1262
"MED21_4109"	251	209	291	192	251	206	415	264
"MEF2C_4112"	0	0	0	0	0	0	0	0
"MEFV_4116"	39	26	40	7	182	144	27	34
"MELK_4117"	3	4	27	35	30	40	80	74
"MEST_4122"	21	4	7	13	1	5	12	11
"MET_4125"	101	73	42	36	125	104	166	103
"METRN_4129"	139	110	46	33	324	241	116	94
"METTL2A_4134"	6	8	4	4	13	19	9	5
"MFSD10_4149"	24	34	51	35	118	116	171	75
"MICALL1_4172"	0	1	1	2	12	0	23	13
"MIF_4173"	497	433	443	363	1787	1546	1160	884
"MKNK1_4185"	26	11	45	13	32	23	61	44
"MLEC_4188"	88	76	106	118	170	109	347	242
"MLLT11_4193"	9	9	40	15	13	23	119	58
"MMP1_4206"	15	12	219	105	14	17	166	53
"MMP2_4213"	0	2	5	0	23	2	4	3
"MMP3_4216"	584	533	336	239	785	605	636	329
"MNAT1_4225"	387	470	233	177	931	829	343	318
"MOK_4238"	123	100	78	37	188	187	18	35
"MORF4L1_4240"	53	27	18	18	62	39	55	46
"MPC2_4243"	1473	1500	579	399	3745	2961	1563	1062
"MPZL1_4249"	4	5	11	6	31	11	2	5
"MRE11A_4256"	435	356	531	368	1655	1101	865	716
"MRPL12_4260"	1356	1174	346	244	2829	2327	740	383
"MRPL13_4261"	1827	1475	1077	737	2514	2159	2218	1984
"MRPL15_4264"	2042	1877	986	793	3381	2584	1890	1343
"MRPL19_4268"	55	52	50	44	74	47	54	15
"MRPL53_4285"	2	4	2	6	16	2	9	18
"MRPS16_4290"	186	175	148	121	394	323	494	328
"MRPS17_4291"	716	682	558	363	743	568	1032	649
"MRPS2_4292"	46	26	27	19	121	98	137	52
"MRPS23_4296"	3	6	2	2	15	6	7	0
"MSH6_4310"	108	88	148	81	202	117	133	85
"MSMO1_4315"	12990	11611	2292	1629	16983	12403	3528	3201
"MSRA_4319"	0	4	0	0	0	0	0	2
"MT1E_4328"	3219	2987	2543	1629	8019	8587	5617	5835
"MT1H_4330"	5	0	14	6	3	4	6	17
"MT1HL1_4331"	0	0	0	0	4	0	0	1
"MT1X_4333"	150	159	76	93	316	296	271	243
"MT2A_4334"	4584	3965	9428	8442	8201	6595	15589	12205
"MTA1_4336"	505	463	328	168	1864	1286	451	296
"MTF2_4342"	86	73	119	126	119	81	279	167
"MTFR1_4345"	301	299	158	74	362	287	210	129
"MTHFD1_4346"	91	87	92	79	135	97	220	123
"MTHFD2_4349"	0	0	5	0	3	0	3	3
"MTMR2_4353"	21	38	9	13	63	23	34	23
"MUC1_4366"	55	32	45	35	183	143	62	29
"MVP_4379"	130	113	61	39	259	182	225	126
"MX1_4382"	17	10	19	1	19	17	55	36
"MYBL2_4391"	19	14	45	47	47	51	88	79
"MYC_4394"	2009	1841	1644	1025	2882	2415	2814	1423
"MYCBP_4395"	3	0	3	2	4	0	8	5
"MYCBP2_4398"	441	445	142	58	1187	899	192	104
"MYL12A_4405"	13	12	2	0	16	20	5	9
"MYL9_4413"	0	0	0	0	4	0	0	0
"MYLK_4414"	266	258	50	16	582	457	237	197
"MYO18A_4418"	4	2	7	7	2	27	2	5
"NAA50_4434"	0	0	0	1	2	1	3	5
"NARFL_4450"	55	30	40	21	107	44	96	57
"NAT2_4457"	88	103	29	5	173	100	55	50
"NCAPD2_4474"	119	50	100	93	255	199	466	310
"NCAPG_4478"	259	164	1118	737	821	747	1689	1166
"NCAPG2_4481"	0	1	12	0	3	4	16	7
"NCAPH_4484"	8	5	51	14	14	27	116	64
"NCK1_4491"	264	248	153	89	377	220	401	283
"NCK2_4492"	30	28	5	6	25	39	22	8
"NCOA3_4501"	69	45	46	26	88	111	105	63
"MT-ND6_4508"	48642	52070	53709	26959	91966	56913	38137	28248
"NDUFA1_4514"	2170	1912	928	666	2882	1929	1652	1160
"NDUFA13_4515"	582	547	449	338	959	739	936	489
"NDUFV2_4530"	731	595	386	313	786	586	776	548
"NENF_4541"	178	153	182	174	448	357	590	560
"NFATC3_4560"	316	329	239	195	567	427	380	226
"NFATC4_4563"	0	1	1	0	4	2	0	2
"NFE2L2_4564"	5248	5065	3312	1993	8448	5955	3735	2233
"NFIL3_4565"	374	379	157	101	1540	1462	317	385
"NFKB1_4566"	510	485	452	298	906	762	787	497
"NFKB2_4567"	161	147	328	188	302	246	1087	520
"NFKBIA_4568"	66	69	77	47	53	77	178	121
"NFKBIB_4570"	243	205	174	110	1235	753	403	267
"NFKBIE_4571"	34	26	67	48	56	62	152	58
"NGRN_4584"	4334	4309	5007	3066	6562	5053	5594	3663
"NIPSNAP1_4593"	3	3	0	0	5	3	0	9
"NISCH_4595"	35	21	52	7	75	63	36	32
"NISCH_4596"	72	90	70	68	232	163	193	96
"NISCH_4597"	58	39	70	49	77	65	122	90
"NIT1_4598"	906	803	592	368	2113	1696	1068	771
"NME1_4611"	1080	1064	1874	1656	2562	2083	3886	2833
"NMT1_4614"	121	123	87	53	427	283	243	185
"NNT_4618"	2220	2040	675	365	5503	3622	1112	829
"NOC3L_4620"	1026	942	924	523	1137	1022	1063	762
"NOL3_4625"	549	546	377	220	1806	1634	701	388
"NOLC1_4626"	1588	1401	1156	598	2351	1840	766	537
"NOP56_4635"	7606	6868	9069	5230	7869	6235	6815	5061
"NOS3_4638"	2	0	8	0	3	0	0	0
"NOSIP_4639"	353	288	481	333	938	723	637	331
"NOTCH1_4642"	3	5	5	1	22	15	31	22
"NPC1_4646"	1080	1027	1318	941	2573	1731	1614	882
"NPDC1_4650"	0	0	1	0	3	0	4	1
"NPEPL1_4651"	59	38	42	19	112	65	48	20
"NPRL2_4660"	575	587	425	281	1450	1140	842	637
"NQO1_4668"	21	9	10	6	47	33	51	24
"NR1H2_4670"	429	408	209	161	803	660	470	318
"NR2F6_4684"	24	16	6	7	32	29	42	13
"NR3C1_4689"	196	212	334	146	258	244	451	255
"NRAS_4703"	268	180	257	261	508	468	284	181
"NRIP1_4719"	58	45	37	34	54	43	114	79
"NRP1_4724"	1566	1522	675	454	2480	1761	891	638
"NSDHL_4728"	6	5	6	0	23	0	1	5
"NT5DC2_4737"	0	0	0	0	0	0	0	0
"NT5E_4738"	35	24	110	78	71	42	41	38
"NUCB2_4744"	113	74	108	67	188	106	140	109
"NUDCD3_4752"	95	105	95	41	239	139	192	78
"NUDT21_4757"	491	468	526	452	571	396	1035	566
"NUDT5_4760"	25	26	30	25	63	64	37	13
"NUDT9_4763"	1065	992	848	394	1185	819	952	653
"NUP107_4770"	3	3	6	3	2	10	4	7
"NUP133_4773"	159	135	139	105	203	92	192	136
"NUP37_4777"	6	6	6	9	20	11	4	6
"NUP85_4781"	148	101	151	76	331	217	282	181
"NUP88_4782"	301	289	244	161	565	515	370	304
"NUP93_4783"	0	1	0	1	0	7	21	6
"NUS1_4786"	462	292	357	247	440	492	210	186
"NUSAP1_4789"	1060	819	1777	1360	4002	3717	5398	4591
"OPHN1_4811"	2	6	5	2	2	3	8	0
"OPN3_4813"	36	39	16	16	77	69	43	26
"ORC1_4828"	0	3	25	17	16	25	41	25
"ORC6_4832"	9	4	65	39	21	40	93	48
"ORM1_4833"	4793	4172	1117	731	4565	3021	2231	1330
"ORM2_4836"	3233	3129	506	362	3547	2336	1554	1099
"ORMDL2_4840"	503	475	584	403	800	675	1084	723
"OST4_4852"	9835	8944	7748	5573	20062	19519	15713	11395
"OSTC_4855"	563	513	457	362	1305	892	706	573
"OXA1L_4873"	36	27	20	17	51	53	57	25
"OXCT1_4876"	7	4	0	0	0	3	0	2
"OXSR1_4880"	123	115	161	121	221	187	329	202
"P2RY14_4885"	0	0	3	1	3	2	0	1
"P4HA2_4889"	1105	937	2054	1454	1635	1614	2346	1392
"P4HB_4890"	34	29	32	26	82	66	39	33
"P4HTM_4891"	92	71	54	38	134	128	133	65
"PACSIN3_4896"	6	8	9	3	22	17	59	15
"PAF1_4900"	22	21	16	6	30	25	41	32
"PAFAH1B1_4903"	372	384	353	244	514	362	436	345
"PAFAH1B3_4904"	16	16	10	8	139	160	90	49
"PAICS_4908"	2478	2320	2173	1320	5001	4002	2661	1844
"PAIP1_4909"	15	19	8	4	19	18	21	10
"PAK1_4912"	10	2	13	3	6	1	14	8
"PAK4_4916"	7	0	3	0	10	0	7	6
"PAK6_4917"	0	1	6	0	3	2	14	11
"PAPD7_4925"	31	28	63	25	42	42	81	40
"PARK7_4930"	7355	7091	6833	5021	9860	8282	8866	6630
"PARP1_4934"	473	497	492	281	617	497	765	414
"PARP2_4940"	25	10	18	15	24	32	74	34
"PAX6_4946"	0	0	0	0	0	0	0	0
"PAXIP1_4950"	14	9	11	1	14	16	22	12
"PCBD1_4953"	1	6	5	0	0	0	2	4
"PCCB_4958"	82	73	58	7	145	113	31	48
"PCDHA1_4960"	13	11	10	6	36	25	28	13
"PCDHA10_4961"	0	0	0	0	0	0	0	0
"PCDHA3_4962"	0	0	0	2	0	0	1	1
"PCDHA5_4963"	1	0	0	0	0	2	0	1
"PCDHA6_4964"	0	0	0	0	0	0	0	0
"PCDHA9_4965"	11	5	8	3	70	33	4	4
"PCDHAC2_4966"	43	16	58	20	91	44	80	52
"PCM1_4980"	268	286	361	185	361	291	747	483
"PCMT1_4984"	382	307	395	306	339	305	744	469
"PCNA_4987"	32	37	396	274	114	81	678	290
"PDE6G_5018"	0	0	0	0	0	0	0	0
"PDHX_5033"	33	44	64	52	50	42	120	49
"PDIA5_5037"	202	176	135	52	349	250	280	126
"PDIA6_5040"	3704	3327	3787	2359	6226	5088	4627	3004
"PDLIM1_5041"	896	779	406	301	804	681	884	545
"PDS5A_5046"	1358	1263	874	658	1341	981	1608	843
"PEX11A_5068"	41	49	26	19	59	62	52	30
"PFAS_5077"	2	0	0	0	15	3	4	2
"PFKL_5083"	8	20	22	22	108	91	90	69
"PFN1_5086"	19302	17402	12561	9989	39471	35242	28717	22012
"PGAM1_5090"	521	489	422	268	1234	972	1086	795
"PGK1_5094"	24718	21713	12169	8745	54494	47503	20166	13470
"PGM1_5095"	858	677	486	225	1125	830	630	356
"PGM3_5099"	353	348	489	397	423	414	679	336
"PGR_5102"	0	0	3	0	8	0	1	3
"PGRMC1_5105"	52	61	72	40	59	41	98	62
"JADE2_5110"	7	4	6	3	21	15	6	13
"PHGDH_5113"	30	12	66	37	69	42	94	54
"PHKB_5119"	159	191	52	17	297	209	48	46
"PHKG2_5120"	6	0	4	0	4	3	0	0
"PHOSPHO1_5125"	6	14	0	0	21	20	3	1
"PI4KA_5128"	467	425	395	235	1073	688	777	404
"PIGB_5133"	16	11	0	2	10	8	3	3
"PIH1D1_5136"	39	24	20	21	34	26	51	46
"PIK3C2A_5139"	354	280	222	127	500	291	331	169
"PIK3C2B_5140"	7	5	3	0	33	11	2	4
"PIK3C3_5143"	127	103	105	93	180	127	155	91
"PIK3CA_5146"	8	5	7	26	5	7	37	30
"PIK3R3_5150"	8	6	14	6	12	9	17	5
"PIK3R4_5151"	78	77	53	62	113	99	129	49
"PIN1_5152"	245	230	79	42	343	325	222	138
"PIP4K2B_5156"	67	82	43	35	167	133	152	78
"PKIG_5162"	2	3	2	0	7	4	3	0
"PLA2G15_5170"	13	6	5	12	14	21	35	28
"PLA2G2F_5171"	0	0	0	0	0	0	0	1
"PLA2G4A_5172"	42	40	23	17	73	42	34	6
"PLAU_5178"	2	0	0	0	0	0	0	1
"PLCB3_5183"	31	22	53	24	42	40	75	45
"PLEKHJ1_5191"	223	253	105	71	312	258	105	80
"PLEKHM1_5194"	12	9	8	2	25	9	27	9
"PLGLB2_5196"	11	6	0	0	14	8	3	7
"PLIN1_5199"	3	4	0	0	10	1	0	0
"PLK1_5203"	8	10	6	10	34	27	151	64
"PLOD3_5204"	44	39	82	50	84	104	215	75
"PLP2_5208"	657	525	1227	974	2064	1775	2850	1852
