ID	Ensembl_Gene_ID	Entrez_ID	pcl.1	pcl.2	pc.mean	pc.sd	NonHDACi.score	HDACi.score	std.dev	Api	Mo	Oxa	Pan	SBHA	Scr	Sodbuty	Tac	TSA	Vor	X2.DG	X5.FU	Ant	Ble	CdCl2	Cisp	CPT	HU	Tun	Vin
AKAP8	ENSG00000105127	10270	0.115859770739922	-0.138421527463321	-0.92165828112778	0.947987624394474	-0.085666477	-1.757650085	0.930348038	-1.80990180021116	-0.902281794815164	-1.78282862275653	-2.17182875889112	-2.04941500589546	-2.28634847796368	-1.7246166868828	-0.796392801046356	-1.94451204575672	-2.10837486056958	-0.267875026261747	0.170296162939418	0.12973289763948	-0.372494789404157	-0.201635143916079	0.0258788855112313	0.438617432008389	-0.421825902594567	-0.384331524262062	0.0269722405730661
AP5S1	ENSG00000125843	55317	0.11595360370849	-0.121343545727294	-0.876345955892737	1.10258022412672	0.048784837	-1.801476749	1.091951269	-1.90523446982151	-0.319943553906973	-2.16879030962848	-2.41439126808957	-1.97426238190666	-2.5214798264613	-1.68454609671011	-0.505775843695639	-2.2291083222361	-2.29123542005034	0.352453140181404	-0.30152249612238	0.16687563635385	0.360262643990298	-0.084883812214965	-0.289294539867159	0.0495775481110412	0.108184114439983	0.326582467263338	-0.200386327483467
ATP1B1	ENSG00000143153	481	-0.107855588904442	-0.102955577825268	0.311601979887496	1.04967146676658	-0.645081646	1.268285605	0.897743325	1.89241542928173	0.953699742538177	1.58511259405767	0.809696061753205	0.993817113487322	1.11800315355616	1.2560883332636	1.88711543008855	1.25902867389169	0.927879521575813	-0.665259592081634	-0.400290496817061	-0.952747360561048	-0.875158826811167	-0.676947355882386	0.00646054149037623	-0.285980521821657	-0.862392008306592	-1.27126447277617	-0.46723636217666
BMF	ENSG00000104081	90427	-0.116715104178636	-0.0560085432699146	1.84970450630023	1.87095899407299	0.135304768	3.564104244	1.170680954	3.34700479235924	2.51531016171849	3.24868361488142	4.47466492483518	4.03183896045518	4.41529144559086	2.73202262836304	3.34252983497908	3.70656895281459	3.82712712528591	-0.227004862169451	-0.309619202382523	-0.542015882288924	-0.10089553197272	-0.990820241253614	0.518076809700435	0.90010804850286	0.534401656261773	0.666936562103603	0.903880328220142
BNIP1	ENSG00000113734	662	0.111960126503611	-0.0468629611944358	-0.217157882673267	0.769277521845119	0.464348467	-0.898664232	0.845091166	-0.665315702108007	-0.482470558178822	-0.80214237360902	-1.0059635790914	-1.00131606367685	-1.3784825303205	-0.640012001919188	-0.688848725206258	-1.04777826760432	-1.27431252031384	-0.102123793976483	0.824128110885472	0.700399255036531	0.0306953775591014	0.848991097212763	0.319898907927956	0.942258534620934	0.306033135598763	0.209194271889612	0.564009771808209
C9orf69	ENSG00000238227	NA	0.113553192224616	0.0665640465918842	-0.548760126972285	0.947484179098044	0.244559458	-1.342079712	1.013845903	-1.47646637884909	-0.63954571613176	-1.37681306515381	-1.6819128483941	-1.33273447272076	-1.86811333647517	-1.42301732979568	-0.729072302584902	-1.42860571922445	-1.46451595173134	0.807936611597533	-0.344433134528286	-0.366568178595455	1.03973846717839	0.160985580545463	0.134127848355251	0.723596649232702	0.976576984638689	-0.258665177388054	-0.427701069420874
CCDC144NL	ENSG00000205212	339184	-0.110308239006416	-0.0441253151553521	0.55147753139759	1.64072301447962	-0.852005126	1.954960189	1.323555371	3.0896945346627	0.61313351089874	2.32797099722984	1.84035092415902	1.8918533100394	2.09922227309357	2.04684446053128	1.39534301730433	2.20785873133414	2.03733012644617	-0.809017812842854	-0.794853673540899	0.922089925303996	-0.671595358793107	-2.85370065005405	-0.627634640954242	-0.421391122445308	-1.20957571379148	-1.51595439383324	-0.538417816796211
CDK5R1	ENSG00000176749	8851	0.113678732420909	-0.151019607299035	-0.749518953639277	0.917929702285931	0.042625827	-1.541663735	0.953929064	-1.64414242498978	-0.642664489121737	-1.90212780376715	-1.62818193003971	-1.78864251158722	-1.99538855245458	-1.59220295435527	-0.507062969096927	-1.83100172833452	-1.88522198211609	0.340716897459824	0.199019558757816	0.187242560661834	0.116932869213782	-0.598415494682729	-0.414387416985718	0.220053499430467	-0.0899978673496196	0.433782452863804	0.0313112137079775
CEP68	ENSG00000011523	23177	-0.101535902637366	-0.113773473358221	0.575491030676457	1.31137140475822	-0.508016145	1.658998206	1.230237815	0.974176492049851	1.51606477285506	0.87684270171603	1.87365251244482	2.06892134155989	2.46818124970864	0.928803378807022	2.05332769788202	1.80351798177071	2.02649393056122	-0.947318855004843	-0.661280467604359	0.574816533405787	-1.17936662735214	-1.36532760310219	0.247374745054832	0.867541899631119	-0.628835403809208	-1.64793061927696	-0.339835047768165
COIL	ENSG00000121058	8161	0.117177284546795	-0.0843816474268829	-0.801683104216662	1.15403451608762	0.190939196	-1.794305405	1.073213766	-1.78809362878888	-0.691599441447359	-1.73445913803988	-2.15386274786357	-2.18624663390705	-2.75654474782672	-1.49843982170043	-0.397861924340187	-2.27605715048434	-2.45988881350392	0.563151154798879	0.203175082936679	0.366973118930345	0.426014291296234	0.18757799249182	0.0390864055441029	0.118063087521228	0.227358029068776	-0.0107810065881659	-0.211226192430808
